ApplicationDocsID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,VerificationStatus
20021,009330,SUPPL,20,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/9330-s020_lanoxin.pdf,2001-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20022,010151,SUPPL,22,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/010151_S022_DILANTIN_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20023,010151,SUPPL,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/010151_S029_DILANTIN_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20024,010151,SUPPL,30,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/010151_S030_DILANTIN_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20025,010151,SUPPL,33,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/010151_S033_DILANTIN_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20026,010775,SUPPL,29,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/10-775SLR029.pdf,2003-02-04 00:00:00,INDEX ONLY - content not screened for IND information
20027,011641,SUPPL,61,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/011641_S061_DIABINESE_TABLETS_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20028,011641,SUPPL,65,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/011641Orig1s065.pdf,2011-10-10 00:00:00,INDEX ONLY - content not screened for IND information
20029,011642,SUPPL,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/11-642s012_Cardioquin.html,2002-08-14 00:00:00,INDEX ONLY - content not screened for IND information
20030,011792,SUPPL,41,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/011792Orig1s041.pdf,2012-11-16 00:00:00,INDEX ONLY - content not screened for IND information
20031,011961,SUPPL,17,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/11961-s017.html,1998-12-14 00:00:00,INDEX ONLY - content not screened for IND information
20032,012209,SUPPL,38,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/12209-S038_Fluorouracil.pdf,1999-01-20 00:00:00,INDEX ONLY - content not screened for IND information
