ApplicationDocsID,ApplicationDocsTypeID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,UnparsedExtraFields,screening_status
73537,2,125554,SUPPL     ,119,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125554s119lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73539,2,125554,SUPPL     ,118,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125554s118lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73540,2,125554,SUPPL     ,117,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125554s117lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73541,2,125370,SUPPL     ,79,0,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf",2023-02-17 00:00:00,[],Unscreened Stage B index row
73542,2,761043,SUPPL     ,22,0,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf",2023-02-17 00:00:00,[],Unscreened Stage B index row
73545,1,215515,SUPPL     ,2,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/215515Orig1s002ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73546,1,021658,SUPPL     ,11,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021658Orig1s011ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73547,1,202129,SUPPL     ,9,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/202129Orig1s009ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73548,1,761278,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/761278Orig1s000ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73549,2,761278,ORIG      ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761278s000lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73550,2,215515,SUPPL     ,2,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215515s002lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73551,2,021658,SUPPL     ,11,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021658s011lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73552,2,202129,SUPPL     ,9,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202129s009lbl.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
73553,1,761099,SUPPL     ,10,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/761099Orig1s010ltr.pdf,2023-02-17 00:00:00,[],Unscreened Stage B index row
