document_id,index_row_id,application,submission_type,submission_no,original_url
daad9093ffa113949fccb3f1,3206,020725,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/020725_creon_toc.html
6198b3c7dfb93b9a5cb547c0,3937,020986,SUPPL,2,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020986Orig1s002.pdf
0abf6190f93b351a3df6bc0e,4240,021081,SUPPL,17,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021081_s017_Lantus.pdf
4e8e4dfa32240e6658997044,4241,021081,SUPPL,24,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021081Orig1s024.pdf
b668dbfe94063ccc1d4cc3d8,5670,021536,SUPPL,15,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021536Orig1s015.pdf
0b1c009d7fa2830c2f35900d,5677,021536,SUPPL,51,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/021536Orig1s051.pdf
9e78d0d22bd3643e74b57542,5878,021629,SUPPL,8,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/021629Orig1s008.pdf
e88dfc8b2e3b4d785efa20d5,7004,022175,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/022175Orig1s000SumR.pdf
2ff968927e29f183fde8a123,14187,021018,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21017_Humalog.html
da79ce0d39f2f2ea72bb7366,15713,021536,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021-536_LevemirTOC.html
6558e6adf03c038439ab8cd0,15851,021597,ORIG,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/021597s000_ZorbtiveTOC.html
7fb3f8fc43a29b7e554661fd,20003,004782,SUPPL,130,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/004782_S115&S130_PREMARIN_TABLETS.pdf
862181a36da08058352a603d,20004,005970,SUPPL,13,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S13_Sotradecol_toc.html
6827382925733a433b46a86a,20005,005970,SUPPL,22,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S22_Sotradecol_toc.html
e62f5690127463d0f0b8fcea,20006,005970,SUPPL,30,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S30_Sotradecol_toc.html
e58a50f98266b0496ff1a447,20007,005970,SUPPL,35,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S35_Sotradecol_toc.html
1d3aad19fa58136ecaadb780,20008,006134,SUPPL,28,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/006134_s028_dolophine_hydrochloride.pdf
7d3e23b2f1ba756f03b65a95,20009,006488,SUPPL,19,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/006488Orig1s019.pdf
757cc231484cb70e8a1af45d,20010,008453,SUPPL,1,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/8453S1S4S6S12_Anectine.pdf
757cc231484cb70e8a1af45d,20011,008453,SUPPL,4,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/8453S1S4S6S12_Anectine.pdf
757cc231484cb70e8a1af45d,20012,008453,SUPPL,6,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/8453S1S4S6S12_Anectine.pdf
757cc231484cb70e8a1af45d,20013,008453,SUPPL,12,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/8453S1S4S6S12_Anectine.pdf
