document_id,url,pdf_page,terms,applications,lesson_hints,manual_status
f8ba05f643d4b285394a99c0,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761325Orig1s000MultidisciplineR.pdf,25,pre_ind,761325,cmc-controls; cmc-stability,Unreviewed strong-term hit
f8e911dbde3cc243880354b8,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202293Orig1s024MultidisciplineR.pdf,25,pre_ind,202293,,Unreviewed strong-term hit
f8e911dbde3cc243880354b8,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202293Orig1s024MultidisciplineR.pdf,33,pre_ind,202293,clinical,Unreviewed strong-term hit
f8e911dbde3cc243880354b8,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202293Orig1s024MultidisciplineR.pdf,39,pre_ind,202293,nonclinical-safety,Unreviewed strong-term hit
f8e911dbde3cc243880354b8,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202293Orig1s024MultidisciplineR.pdf,75,pre_ind,202293,,Unreviewed strong-term hit
f918f326345636717fb9db1f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761390Orig1s000AdminCorres.pdf,35,clinical_hold,761390,nonclinical-pharmacology,Unreviewed strong-term hit
f918f326345636717fb9db1f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/761390Orig1s000AdminCorres.pdf,45,clinical_hold,761390,nonclinical-pharmacology,Unreviewed strong-term hit
f921de92abfb0e600a65c95e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216099Orig1s000AdminCorres.pdf,6,clinical_hold; may_proceed; pre_ind,216099,nonclinical-pkpd; cmc-material,Unreviewed strong-term hit
f921de92abfb0e600a65c95e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216099Orig1s000AdminCorres.pdf,7,clinical_hold,216099,nonclinical-package,Unreviewed strong-term hit
f921de92abfb0e600a65c95e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216099Orig1s000AdminCorres.pdf,9,pre_ind,216099,cmc-material; cmc-controls; cmc-stability,Unreviewed strong-term hit
f921de92abfb0e600a65c95e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216099Orig1s000AdminCorres.pdf,12,pre_ind,216099,nonclinical-pharmacology; nonclinical-pkpd; cmc-material; clinical,Unreviewed strong-term hit
f981a938915ee06995b09af5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/213260Orig1s000AdminCorres.pdf,3,pre_ind,213260,,Unreviewed strong-term hit
fa0b1aff198e99d9f7c278ab,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/218276Orig1s000AdminCorres.pdf,6,may_proceed,218276,nonclinical-pkpd,Unreviewed strong-term hit
fa0b1aff198e99d9f7c278ab,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/218276Orig1s000AdminCorres.pdf,18,clinical_hold,218276,nonclinical-pharmacology,Unreviewed strong-term hit
fa18707413ee4a2ad1f8e871,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214662Orig1s000AdminCorres.pdf,2,clinical_hold,214662,nonclinical-pharmacology,Unreviewed strong-term hit
fae0063b1abfe33abc961d3a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216593Orig1s000MedR.pdf,21,pre_ind,216593,,Unreviewed strong-term hit
fae0063b1abfe33abc961d3a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/216593Orig1s000MedR.pdf,39,investigator_brochure,216593,nonclinical-pkpd; clinical,Unreviewed strong-term hit
fae87380d4de9c6fbf341692,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/218771Orig1s000MultidisciplineR.pdf,20,pre_ind,218771,cmc-material; cmc-controls,Unreviewed strong-term hit
fb0405a32bed7e43338c080e,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215390Orig1s000AdminCorres.pdf,14,investigator_brochure,215390,nonclinical-pkpd,Unreviewed strong-term hit
fb48a4e22d0f9df2253224cc,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/220482Orig1s000AdminCorres.pdf,4,pre_ind,220482,cmc-material; cmc-controls,Unreviewed strong-term hit
fb48a4e22d0f9df2253224cc,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/220482Orig1s000AdminCorres.pdf,30,pre_ind,220482,,Unreviewed strong-term hit
fb48a4e22d0f9df2253224cc,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/220482Orig1s000AdminCorres.pdf,34,initial_ind; original_ind_review,220482,nonclinical-safety; cmc-material; cmc-controls,Unreviewed strong-term hit
fb48a4e22d0f9df2253224cc,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/220482Orig1s000AdminCorres.pdf,56,initial_ind; original_ind_review,220482,nonclinical-safety; nonclinical-package; cmc-material; cmc-controls; clinical-dose,Unreviewed strong-term hit
fb48a4e22d0f9df2253224cc,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/220482Orig1s000AdminCorres.pdf,78,initial_ind; original_ind_review,220482,,Unreviewed strong-term hit
fb5d6d6d6a0febaae616a997,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219301Orig1s000AdminCorres.pdf,14,clinical_hold,219301,nonclinical-pharmacology,Unreviewed strong-term hit
fb5d6d6d6a0febaae616a997,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219301Orig1s000AdminCorres.pdf,30,may_proceed,219301,nonclinical-safety; nonclinical-package; clinical; clinical-dose,Unreviewed strong-term hit
fb7bafaab9bb933607a8f4bb,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/212593Orig1s000AdminCorres.pdf,4,pre_ind,212593,cmc-material; cmc-controls; cmc-stability,Unreviewed strong-term hit
fb7bafaab9bb933607a8f4bb,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/212593Orig1s000AdminCorres.pdf,22,pre_ind,212593,,Unreviewed strong-term hit
fbbd0762696bd957ada5e96f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/219835Orig1s000MultidisciplineR.pdf,42,initial_ind; original_ind_review,219835,cmc-stability; clinical,Unreviewed strong-term hit
fc226d019f9426f68d4b9515,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217603Orig1s000ClinPharmR.pdf,8,pre_ind,217603,nonclinical-pkpd; cmc-material; clinical,Unreviewed strong-term hit
fc226d019f9426f68d4b9515,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217603Orig1s000ClinPharmR.pdf,10,pre_ind,217603,nonclinical-pkpd; cmc-material; clinical,Unreviewed strong-term hit
fc7e9af27d2c268dcb546f0c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/761320Orig1s000SumR.pdf,22,pre_ind,761320,nonclinical-safety; clinical,Unreviewed strong-term hit
fc7e9af27d2c268dcb546f0c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/761320Orig1s000SumR.pdf,69,pre_ind,761320,nonclinical-safety; clinical,Unreviewed strong-term hit
fc7e9af27d2c268dcb546f0c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/761320Orig1s000SumR.pdf,125,pre_ind,761320,nonclinical-safety; clinical,Unreviewed strong-term hit
fcaebc5e07f57fcc72f854ae,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/213876Orig1s000PharmR.pdf,10,pre_ind,213876,nonclinical-pharmacology; nonclinical-safety,Unreviewed strong-term hit
fccf9940c612107f1f89e015,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219947Orig1s000IntegratedR.pdf,40,pre_ind,219947,clinical,Unreviewed strong-term hit
fccf9940c612107f1f89e015,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219947Orig1s000IntegratedR.pdf,236,initial_ind; may_proceed; original_ind_review,219947,,Unreviewed strong-term hit
fd09654a2a23f945a0b1eb4d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202049Orig1s000AdminCorres.pdf,3,pre_ind,202049,,Unreviewed strong-term hit
fd09654a2a23f945a0b1eb4d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202049Orig1s000AdminCorres.pdf,4,pre_ind,202049,,Unreviewed strong-term hit
fd09654a2a23f945a0b1eb4d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/202049Orig1s000AdminCorres.pdf,7,pre_ind,202049,nonclinical-safety; clinical-dose,Unreviewed strong-term hit
fd252cd35e5b55ab142043ab,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/217604Orig1s000SumR.pdf,9,may_proceed; pre_ind,217604,cmc-material; cmc-controls,Unreviewed strong-term hit
fd25ae2279321575e044564c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/212782Orig1s000MedR.pdf,7,pre_ind,212782,cmc-material; cmc-stability,Unreviewed strong-term hit
fd3cfb5b28a99121ebb1f46a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/218922Orig1s000PharmR.pdf,7,pre_ind,218922,nonclinical-safety; nonclinical-package; cmc-controls,Unreviewed strong-term hit
fd9ce7b429ebeba1f32dc79d,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/215431Orig1s000AdminCorres.pdf,22,pre_ind,215431,,Unreviewed strong-term hit
fdcd532c7dce6dc119f2ab8c,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/208411Orig1s006IntegratedR.pdf,75,pre_ind,208411,clinical,Unreviewed strong-term hit
fe10257d712c40b386d1193a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761436Orig1s000MultidisciplineR.pdf,25,pre_ind,761436,,Unreviewed strong-term hit
fe10257d712c40b386d1193a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761436Orig1s000MultidisciplineR.pdf,26,may_proceed,761436,cmc-stability; clinical,Unreviewed strong-term hit
fe4d67591fd8de3ea76beb4b,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/217242Orig1s000MultidisciplineR.pdf,24,pre_ind,217242,clinical,Unreviewed strong-term hit
fe789108ac43b221d8458887,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216185Orig1s000SumR.pdf,6,pre_ind,216185,nonclinical-pkpd; cmc-material,Unreviewed strong-term hit
fe83d3e1a7993cbd04ed2832,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/208712Orig1s000OtherR.pdf,6,investigator_brochure,208712,nonclinical-pkpd,Unreviewed strong-term hit
fe83d3e1a7993cbd04ed2832,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/208712Orig1s000OtherR.pdf,39,clinical_hold,208712,,Unreviewed strong-term hit
fe83d3e1a7993cbd04ed2832,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/208712Orig1s000OtherR.pdf,42,clinical_hold,208712,clinical,Unreviewed strong-term hit
fe8dcbae438b19a113e61bb4,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215875Orig1s000AdminCorres.pdf,3,pre_ind,215875,cmc-material,Unreviewed strong-term hit
fecb5ae477665ab61a12665f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/208171Orig1s000AdminCorres.pdf,4,clinical_hold,208171,nonclinical-safety; clinical,Unreviewed strong-term hit
fecb5ae477665ab61a12665f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/208171Orig1s000AdminCorres.pdf,5,clinical_hold,208171,nonclinical-pkpd,Unreviewed strong-term hit
fecb5ae477665ab61a12665f,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/208171Orig1s000AdminCorres.pdf,23,clinical_hold,208171,nonclinical-pkpd,Unreviewed strong-term hit
